Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Nkhoma C.A., Thomas S., Nkhoma M.Z., Sriratanaviriyakul N., Truong T.H., Vo H.X.",Measuring the impact of out-of-class communication through instant messaging,2018,Education and Training,1,10.1108/ET-12-2017-0196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044783219&doi=10.1108%2fET-12-2017-0196&partnerID=40&md5=7f2e88be3158f627e0e56f210ca67cb8,"Purpose: Despite the growing body of literature demonstrating the role of communication in educational settings, there are limited up-to-date studies exploring the use of an instant messaging (IM) tool and its impacts on students’ learning outcomes, especially in the tertiary education in Vietnam. This study approached IM as an out-of-class communication (OCC) approach in computer-mediated communication. The purpose of this paper is to investigate students’ perceived quality of information received and its influence on their perceived performance proficiency as a result of their lecturers’ clarification of their enquiries through an online instant message application, namely Remind (www.remind.com/). Design/methodology/approach: The target groups were first-year business students in an international university in Vietnam. The analysis of the data gathered from the questionnaire was carried out using a measurement model and a structural equation model. Findings: The findings indicate that using OCC technology creates social bonding between students and lecturers by allowing students to clarify the ambiguity of concepts learnt in class and create a sense of connection with their lecturers which leads to better student engagement and hence improved learning outcomes. Originality/value: The authors highlight the evidence of effective usage of IM tool by university students as a meaningful communication tool and the need to integrate technology into all educational settings. © 2018, Emerald Publishing Limited.",Classroom communication; Instant messages; Out-of-class communication; Remind; Student engagement; Technology in teaching and learning,
"Yu F.-Y., Hsieh H.-T., Chang B.",The potential of Second Life for university counseling: a comparative approach examining media features and counseling problems,2017,Research and Practice in Technology Enhanced Learning,1,10.1186/s41039-017-0064-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057126785&doi=10.1186%2fs41039-017-0064-6&partnerID=40&md5=98e32f01d43d734e01d0e720dd979512,"This study explored the potential of Second Life (SL), a popular multi-user virtual online environment, for university counseling. University students (n = 312) were asked to evaluate three counseling channels (i.e., traditional face-to-face, internet, and SL) based on a range of media features deemed relevant and important to counseling and to assess their relative preferability when faced with different counseling problems. For the purposes of this study, counseling rooms with different styles were built, virtual counselors with different genders, ages, and styles were created, and short video recordings of scripted counseling sessions were produced in SL. For the media feature comparisons, the collected data were analyzed by the multivariate analysis of variance, followed by the analysis of variance and post hoc comparisons when significant differences were found, whereas for counseling problem comparisons, repeated-measure analysis of variance and post hoc comparisons were used. The results for the media feature comparisons showed that SL counseling significantly out-rated traditional counseling in all of the examined media features, with the exception of the interactivity dimension. Additionally, while SL and internet counseling were both perceived as significantly better than traditional counseling in areas that are unique to computer-mediated communications, including anonymity, convenience, and flexibility with regard to time and space, as well as privacy of the counseling site, SL was perceived as distinctly superior to internet counseling in five areas due to its unique affordances, including the choice of appearance, choice of counselors, interactivity, diversity of counseling sites, and availability of counseling object dimensions. Furthermore, traditional counseling was regarded as better able to support more fluent and versatile interaction between the counselor and client than the other two computer-mediated channels. As for the results of counseling problem comparisons, SL was rated as least preferred for six out of the seven counseling problems (except for gender identity issues), despite its media affordances. Suggestions for practitioners and future research are provided based on the current findings. © 2017, The Author(s).",Computer-mediated communication; Face-to-face communication; Media features; Preferability; Second Life; University counseling,
Huang H.,The Promise and Dilemma of the Mediated Parent-Teacher Relationship in the Age of Social Networking Sites,2017,Frontiers of Education in China,1,10.1007/s11516-017-0034-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042753959&doi=10.1007%2fs11516-017-0034-1&partnerID=40&md5=80fae8110909bee3b11b58de813b8670,"Based on an ethnographic study on two cohorts of teachers and parents in China, this article reveals that social networking sites (SNS) have widened the channel for parents and teachers to establish and maintain a relationship, and has formed an online “community of practice” to promote such collaborations. Yet, this could be accomplished only at the expense of teachers’ professional and personal boundaries becoming increasingly blurred, which has emerged as a potential risk for their professionalism. Moreover, such a “community of practice” has also opened up a new space for winning or losing at the educational game for parents from different background, which has inadvertently led to widening the arena for the operation of old mechanisms of social inequality. This study suggests that further investigation should be conducted to examine the potential of SNS in the parent−teacher relationship. © 2017, Higher Education Press and Springer-Verlag GmbH Germany, part of Springer Nature.",community of practice; ethnography; inequality; parent−teacher relationship; social networking sites,
"McEwan G., Gutwin C.",A Case Study of How a Reduction in Explicit Leadership Changed an Online Game Community,2017,Computer Supported Cooperative Work: CSCW: An International Journal,1,10.1007/s10606-017-9282-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019711514&doi=10.1007%2fs10606-017-9282-0&partnerID=40&md5=daa28075739cd6c82dc9ab46f460dd9f,"Leadership is considered critical to virtual community success. Leaders engage in important community activities such as encouraging members and building social structure. These potential benefits, however, have rarely been empirically tested. We were presented with an opportunity to explore this issue while studying an online board-and-card-game community. During our study, the community experienced a major change in leadership when the founder – and formal leader – decided to substantially reduce his involvement in the site. This provided us with the rare opportunity to carry out a case study of leadership reduction in a real-world community. To look at the effects of leadership on community behaviour, we analysed 16 months of activity logs, supported by interviews, to compare the community before, during, and after the founder’s withdrawal. We observed strong variability in the effects of a leadership reduction – some results were in line with the “leadership hypothesis,” but others were unexpected. In some cases, we found evidence that reducing formal leadership can have negative effects on the success of the community; but in other cases, we found surprising sources of resilience to the reduction in leadership activities. Our study is the first to look at the details of how leadership (and a reduction in this role) affects several types of sub-community within a board-and-card game site, and the first to consider some of the factors that lead to differences in the effects of leadership reduction. Overall, we found that negative effects on sub-communities were closely tied to the specific activities that the leader provided, and the degree to which he was the only person able to provide those roles. The broad strokes of this finding agree with the leadership hypothesis, but there are several unexpected elements within the main story: the negative effects were less drastic than we anticipated, and all of the sub-communities (even the most dependent) survived the transition. The strong resilience of some of the sub-communities seems to be connected to their ability to “fall back” to a foundation of shared activity (i.e., game play) – an idea that has been introduced in earlier work but never studied empirically. This research helps designers to understand the complexities of leadership in online communities, providing an important foundation for developing and supporting online groups. © 2017, Springer Science+Business Media Dordrecht.",Board and card games; Case study; Leadership change; Online games; Online leadership; Virtual community,Virtual reality; Card games; Leadership change; On-line games; Online leadership; Virtual community; Social networking (online)
Harris U.S.,Virtual Partnerships: Engaging Students in E-service Learning Using Computer-mediated Communication,2017,Asia Pacific Media Educator,1,10.1177/1326365X17701792,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027840719&doi=10.1177%2f1326365X17701792&partnerID=40&md5=a1778eb1071dee6f172250a3ae95653f,"Computer-mediated communication has important implications for future classroom learning which is no longer spatially bound or centred around text books. It has the ability to incorporate real-life learning whereby students can make important contributions towards solving global problems without having to leave the campus. This study looked at the impact of virtual communication processes and online tools on student and partner engagement in an on-campus undergraduate unit which enables Australian students to create communication campaigns for a non-government organization in India. The study found that the communication exchanges provided students with opportunities for intercultural dialogue, both in real and virtual spaces, and how to use Information and Communications Technology (ICT) and media within a social justice framework within a transnational working environment. Internet technologies have become part of the daily communication pattern of a new generation of students, who see it as their natural environment in which to learn, play and work. It is thus important to expand students’ use of the global digital network from superficial social interactions towards activities which enable them to become active and informed global citizens. © 2017, © 2017 University of Wollongong.",e-service learning; global citizen; mediated intercultural communication; remote engagement; transnational; Virtual partnerships,
"Angeli C., Schwartz N.H.",Differences in electronic exchanges in synchronous and asynchronous computer-mediated communication: the effect of culture as a mediating variable,2016,Interactive Learning Environments,1,10.1080/10494820.2014.961484,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907892078&doi=10.1080%2f10494820.2014.961484&partnerID=40&md5=96aa5fa4dbe4b00292b2760821516edc,"Two hundred and eighty undergraduates from universities in two countries were asked to read didactic material, and then think and write about potential solutions to an ill-defined problem. The writing was conducted within a synchronous or asynchronous computer-mediated communication (CMC) environment. Asynchronous CMC took the form of email exchanges between American learners only, Southern European learners only, and American and Southern European learners together. Synchronous CMC was restricted to dyads consisting of American–American, Southern European–Southern European, and American–Southern European students dialoguing. Additionally, a number of Americans and Southern Europeans were each paired with a content-“mirroring” computer-generated partner to account of the effect of thinking with an unresponsive partner in synchronous CMC. Results revealed that dyadic learners in asynchronous CMC used significantly more reasoning skills to think about solutions to the problem, while dyadic learners in synchronous CMC exchanged significantly more personal knowledge and features of emotion. However, the tendency among dyadic learners to include emotional features in their dialogues was mediated by their cultural background. © 2014 Informa UK Limited, trading as Taylor & Francis Group.",asynchronous CMC; cognition; computer-mediated communication; culture; emotions; synchronous CMC,
"Lelis C., Mealha O.",Heuristic for brand artefacts co-design: a computer-mediated proposal,2015,CoDesign,1,10.1080/15710882.2015.1054840,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938983288&doi=10.1080%2f15710882.2015.1054840&partnerID=40&md5=00a9cb918e96ad9c97146e93a581f6cb,"Brands undeniably constitute a significant asset for a company and are usually specified in its organisational strategy. Typically, employees are not invited to participate in debates or decisions about branding since they access brand information in a unidirectional way. Many of them do not even know how to convey appropriate messages and fail to recognise the importance of brand consistency. In this article we propose a heuristic for an interaction structure aimed at brand artefact co-design, through a computer-mediated platform, so that employees may learn about the brand, develop brand knowledge, propose meaningful brand artefacts and manage the evaluation of their peers’ proposals. We prepared a non-functional prototype of a Participatory Brand Centre and tested it in focus group sessions with the University of Aveiro's employees. We found that though our proposal is consistent with employees’ brand-related needs, authorship is a sensitive issue. © 2015 Taylor & Francis.",brand artefacts; co-design; computer-mediated communication; employees; heuristic,
"Moffitt R.L., Padgett C., Grieve R.",Accessibility and emotionality of online assessment feedback: Using emoticons to enhance student perceptions of marker competence and warmth,2020,Computers and Education,,10.1016/j.compedu.2019.103654,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070674474&doi=10.1016%2fj.compedu.2019.103654&partnerID=40&md5=b5bacc7c3eaa9b627e976a7aa7c2135e,"Assessment feedback is one of the most powerful learning tools, and in higher education this feedback is increasingly being provided online. The current study investigated the inclusion of emoticons as a method through which to enhance student perceptions of the accessibility and emotionality of written online assessment feedback. Undergraduate students (N = 241) were presented with an online faux essay along with associated written feedback typical of the comments students would receive in the higher education context. The feedback was identical except for the inclusion of emoticons. Using a between-groups design, emoticons were manipulated in two ways: frequency (none, 1, 3, or 6) and valence (happy, sad, or confused). The use of happy emoticons produced significantly higher perceptions of marker warmth when compared to no emoticons, or when negatively valenced emoticons were included. Furthermore, marker competence was significantly higher when 3 happy face emoticons were presented in the feedback than when 3 sad or confused faces were included. Student perceptions of feedback quality and marker professionalism were not affected by emoticon use. Thus, the results suggest that instructors can use positively valenced emoticons to inject some fun, warmth, and emotionality in written online assessment feedback without sacrificing feedback quality or professional integrity. © 2019 Elsevier Ltd",Computer-mediated communication; Evaluation methodologies; Pedagogical issues; Post-secondary education; Teaching/learning strategies,Behavioral research; Computer mediated communication; Evaluation methodologies; Pedagogical issues; Postsecondary education; Teaching/learning strategy; Students
"Chang C.-T., Tu C.-S., Hajiyev J.",Integrating academic type of social media activity with perceived academic performance: A role of task-related and non-task-related compulsive Internet use,2019,Computers and Education,,10.1016/j.compedu.2019.05.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067987342&doi=10.1016%2fj.compedu.2019.05.011&partnerID=40&md5=feabaa4f5cec22d6ee403aa39b2cd4ca,"The use of social media and compulsive Internet use among university students has become debatable concern due to both positive and negative effects on academic performance. Yet, little is known about how students' task-on and task-off Internet, as well as social media use, may influence their perceived academic performance. This study differentiates task-related and non-task-related compulsive Internet use and utilizes academic type of social media activity that predicts perceived academic performance with inclusion of task value as external variable and academic motivation as moderator. The SEM analysis of data collected from 489 Turkish students shows that academic type of social media activity and task-related compulsive Internet use positively impact perceived academic performance, while non-task-related compulsive Internet use negatively influences perceived academic performance. Perceived academic performance positively predicts task-related compulsive Internet use of students with a moderation effect of academic motivation. Another interesting finding is that perceived task value positively influences perceived academic performance in the context of non-task-related compulsive Internet use but not task-related compulsive Internet use, which is explained to the extent that the type of Internet use defines whether students value the process of learning (e.g., online searching of study materials, resources, academic contents)or the outcome (e.g., academic grades)mostly. Findings can help educators to lead the students to appropriately use Internet and social media for academic purpose. Because, academic motivation can significantly contribute to students' use of Internet for academic purpose regardless of their need for relief, comfort in case of bad academic performance and grades. © 2019 Elsevier Ltd",Computer-mediated communication; Human-computer interface; Interactive learning environments; Media in education,Human computer interaction; Motivation; Social networking (online); Students; Academic motivations; Academic performance; Computer mediated communication; Human computer interfaces; Interactive learning environment; Media in education; Positive and negative effect; University students; Computer aided instruction
MacKay J.R.D.,Show and ‘tool’: How lecture recording transforms staff and student perspectives on lectures in higher education,2019,Computers and Education,,10.1016/j.compedu.2019.05.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066944373&doi=10.1016%2fj.compedu.2019.05.019&partnerID=40&md5=818c2b4c7930631248765f3978395c97,"Lecture recording is sometimes considered a disruptive technology which has the potential to supplant the traditional higher education model through fundamentally changing how students are taught. Despite this, there is limited evidence that lecture recordings affect student attendance or attainment, and so it is not clear why lecture recording is considered so disruptive. An evaluation was run in a large Russell Group Institution in the UK in 2018 as it rolled out an institute-wide lecture recording programme. In this study, in-depth interviews with 13 staff members and free-text responses from 159 first-year student survey respondents were analysed using constructivist grounded theory to explore why lecture recording is viewed as disruptive, and what the implications of this are for teaching. Both staff and students were concerned with issues which happened inside the classroom (proximate) and wider issues about education (ultimate issues), but these concerns manifested differently between the groups. Overall, the act of recording a space was considered transformative, creating a digital artefact which was both highly valued by students as a ‘tool’ to improve their learning, but impacting on the overall ‘show’ that lecturers felt was a core aspect of the lecture. Ultimately, staff were also concerned that recordings ‘canonised’ the material, and made students too reliant on lectures, whereas students viewed the recordings as a safety net. The implications of this transformative power of recording for teaching are discussed. © 2019 Elsevier Ltd",Computer mediated communication; Evaluation of impact; Lecture capture; Lecture recording; Media in education,Education computing; Surveys; Computer mediated communication; Evaluation of impact; Lecture capture; Lecture recording; Media in education; Students
"Dugartsyrenova V.A., Sardegna V.G.","Raising intercultural awareness through voice-based telecollaboration: perceptions, uses, and recommendations",2019,Innovation in Language Learning and Teaching,,10.1080/17501229.2018.1533017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054851919&doi=10.1080%2f17501229.2018.1533017&partnerID=40&md5=43a6580985189b7e38496c2446899505,"This article explores learners’ uses and opinions regarding the design and implementation of an approach for developing intercultural knowledge and skills via an online voice-based telecollaboration tool. The participants were 14 pre-service teachers taking an intercultural course for English teachers at a Russian university. For three weeks, they engaged in a multicultural out-of-class telecollaboration with 14 pre-service teachers pursuing an MA degree in foreign language education in the U.S. English was used as a means of interaction. The Russian participants’ uses and views regarding the telecollaboration project were gathered through a mixed-method analysis of their oral posts, online questionnaire responses, a whole-class discussion, and individual reflections. The results revealed that the pre-service teachers appreciated the format, timeframe, and facilitation of the project as well as the affordances mediated by the voice-based tool for enabling them to develop their intercultural skills with multicultural partners. The results also indicated that, to maximize student engagement, it is important to consider learners’ contextual variables, and their individual preferences and needs when choosing CMC tools and telecollaboration partners. The study concludes with a number of pedagogical suggestions for teachers interested in conducting projects that can raise their students’ intercultural awareness via telecollaboration tools. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",intercultural learning; learner perspectives; task design; Telecollaboration; voiced-CMC tools,
"Vázquez-Cano E., González A.I.H., Sáez-López J.M.",An analysis of the orthographic errors found in university students’ asynchronous digital writing,2019,Journal of Computing in Higher Education,,10.1007/s12528-018-9189-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063332957&doi=10.1007%2fs12528-018-9189-x&partnerID=40&md5=71d0b38d49bd87b1a1b2d50db2b659db,"This article presents an analysis of the orthographic errors found in university students’ asynchronous digital writing. A university and a society belonging to the twenty-first century require students and professionals who can use their language correctly in any context, device and mode of communication. The research was based on a sample of 1237 digital interactions in discussion forums and emails between students of the National University of Distance Learning on subjects related to academic work. We applied a descriptive quantitative methodology by means of a statistical and lexicometric analysis of the written texts and multiple regression analysis, related to four independent variables: gender, studies, interlocutor (professor/student), and digital device (fixed, mobiles) and three orthographic sub-levels (punctuation, accentuation and spelling). The results show that there is considerable room for improvement in the orthography of university students’ asynchronous digital writing. A total of 71.3% of errors were not conditioned by independent variables but by ignorance of the orthographic rules or incorrect use of the language. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Computer mediated communication; Digital writing; European Higher Education Area; Lexicometry; Orthographic errors,
"Yadegaridehkordi E., Nilashi M., Shuib L., Samad S.",A behavioral intention model for SaaS-based collaboration services in higher education,2019,Education and Information Technologies,,10.1007/s10639-019-09993-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071331378&doi=10.1007%2fs10639-019-09993-1&partnerID=40&md5=16bcebdcdea40624ac4519e86fe4dd44,"Despite numerous potential benefits of cloud computing usage, there are still some users reluctant to adopt this technology. This study aims to investigate the factors that influence student adoption of cloud computing in higher education settings and to generate a set of decision rules to guide through a series of critical decisions needed in this adoption process. Accordingly, a two-stage Structural Equation Modelling (SEM)-Classification and Regression Trees (CART) methodology is applied in order to test the overall research model and related hypotheses as well as to generate decision rules to predict behavioural intention towards adoption. Using survey questionnaire method, a total of 418 valid questionnaires are collected from students of top-ranked Malaysian universities. The results show that task-technology fit, performance expectancy, effort expectancy, social influence, self-efficacy, collaboration technology experience, peer and superior influence and familiarity with group members are significant predictors of intention to adopt cloud computing. The findings of this study can serve as a guideline for the ministry of education, university administrators, and cloud service providers to manage the successful adoption of cloud computing in the education sector. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Adult learning; Computer-mediated communication; Cooperative/collaborative learning,
Choi L.J.,The identity (re)construction of international students in the process of academic literacy acquisition,2019,Teaching in Higher Education,,10.1080/13562517.2019.1657398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071003321&doi=10.1080%2f13562517.2019.1657398&partnerID=40&md5=3c8d5ec176ba86e40cba6dddec0a45f7,"Despite the growing number of international students in higher education, few studies have examined these students’ struggles or ideological development process as they enter new communities of practice. This study uses longitudinal ethnographic and autoethnographic methods to examine the experiences of three South Korean international graduate students at a U.S. university. Data included recorded conversations, reflective journals, personal journals, and computer-mediated communication collected during participants’ second and third semesters in the graduate program. The data were analyzed to determine how participants construct, negotiate, and develop their ideologies and positions in the process of entering a new academic discourse community, relating and responding to various ideological discourses and power-laden labels imposed on them. Study findings highlight the dynamic nature of international students’ academic literacy acquisition, and the complex process of their ideological becoming. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",Academic literacy acquisition; identities; ideological becoming; international students; South Korea,
Al-Samarraie H.,"A scoping review of videoconferencing systems in higher education: Learning paradigms, opportunities, and challenges",2019,International Review of Research in Open and Distance Learning,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070741066&partnerID=40&md5=504c446663ce162666e8685dc6fa16a9,"Videoconferencing as a learning tool has been widely used among educators and learners in order to induce effective communication between learners and teachers or learners and their peers, especially when face-to-face means are not possible. Different types of videoconferencing platforms or systems have emerged for use in today's higher education institutions. Previous research has focused on examining the potential of three different forms of videoconferencing systems: desktop videoconferencing (DVC), interactive videoconferencing (IVC), and Web videoconferencing (WVC). In this study, a review of the literature was conducted to increase the current knowledge regarding the use of these videoconferencing systems. A classification of the videoconferencing paradigms from the constructivism and cognitivism perspectives was provided. The summary of the results for these videoconferencing systems revealed specific learning opportunities, outcomes, and challenges for both learners and instructors. The results suggest that current policy and teaching strategies are not ready to provide an accessible and comprehensive learning experience in DVC and IVC. Relative to previously conducted studies regarding the use of videoconferencing in higher education, this study offers a broader consideration of relevant challenges that emerge when using certain videoconferencing systems in both learning and teaching situations. © 2019 Athabasca University.",Computer-mediated communication; Distance education; Improving classroom teaching; Lifelong learning; Telelearning,
Khalid F.,Students' identities and its relationships with their engagement in an online learning community,2019,International Journal of Emerging Technologies in Learning,,10.3991/ijet.v14i05.8196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063061623&doi=10.3991%2fijet.v14i05.8196&partnerID=40&md5=4ca50142a063bb64c580631cc7e612d8,"Communities of practice's approaches have been proven to be effective in enhancing students' learning as well as helping them to cultivate inter- personal skills, especially within the higher education system. An important development in relation to participation in communities of practice is members' identities. This study was conducted with the aim of understanding students' identities in relation to their participation in an online community and how the dimensions of their identities correlated to each other. The research participants were 123 first-year students who were involved in collaborative sharing activities via an online community, using Weebly. Data was collected using a set of questionnaires that discussed four main dimensions of identities: personal, professional, as learners, and as members of communities. Data was analysed using SPSS version 22. The overall findings offer a detailed description of students' identities. A high positive correlation was found between students' prior knowledge and their motivation, commitment and beliefs with regard to the benefits of online communities. The only dimension of students' identities that lacked correlation with other dimensions was students' openness. The findings highlight the importance of understanding different aspects of identities and how this helps to enhance engagement in online communities. The findings are significant in terms of establishing a deeper understanding on learning process within a social learning theory. © 2019 Kassel University Press GmbH.",Communities of practice; Identities; Motivation; Online; Social learning; Tertiary education,Distributed computer systems; E-learning; Motivation; Online systems; Social networking (online); Surveys; Communities of Practice; Identities; Online; Social learning; Tertiary education; Students
Wrigglesworth J.,Using smartphones to extend interaction beyond the EFL classroom,2019,Computer Assisted Language Learning,,10.1080/09588221.2019.1569067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060897409&doi=10.1080%2f09588221.2019.1569067&partnerID=40&md5=446b600ad5b7656bb7e2496a296c7156,"Successful second language learning can be seen as occurring in two arenas; the exposure and learning which occurs, under the guidance of a formal education setting, under the guidance of an instructor and that which occurs informally, under the guidance of the learner or incidentally as the learner pursues other activities. As smartphones have become more available and affordable, educators and learners have looked at the potential these devices offer to extend language learning opportunities beyond the classroom. This study looked at how university English language learners engaged in student-led communicative tasks on an Multimedia Messaging Systems platform accessed through their smartphones. In designing the study, I took an interactionist perspective and used sociocultural theory as an analytical tool in my analysis. The results showed that learners successfully engaged in these tasks and that they found them useful as language learning activities. Although there was a low level of negotiation of meaning between peers, the participants were heavily involved in using affordances on their smartphones to help them engage in the tasks. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",CMC; interactionist; Mobile assisted language learning; smartphones; sociocultural,
"Ghabban F., Selamat A., Ibrahim R.",New model for encouraging academic staff in Saudi universities to use IT for knowledge sharing to improve scholarly publication performance,2018,Technology in Society,,10.1016/j.techsoc.2018.07.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049467836&doi=10.1016%2fj.techsoc.2018.07.001&partnerID=40&md5=390a0bacb0de88f37114691fec801a25,"Research and development are central to national and civilizational advances. Research and development in any nation are measured according to research outcomes, such as publications. Publications are becoming the primary source for evaluating academic staff and academic institutions. Knowledge is the most important resource in universities. Useful knowledge can improve the performance of workers in the organization. Knowledge sharing, or the exchange of information between workers, is important for academics and practitioners. Knowledge acquisition, knowledge sharing and knowledge utilization are three types of knowledge management. Higher education in Saudi Arabia seeks to enhance scientific research as a key component of developing the nation and its universities. In recent years, higher education in Saudi Arabia has initiated multiple projects on enhancing the research productivity of academic staff in Saudi universities. Saudi higher education is seeking to automate all research activities to enhance research performance. This study examines the impact of using knowledge sharing to improve scholarly publications from academic staff in Saudi universities. In addition, this research identifies the factors that lead to enhanced levels of knowledge sharing in Saudi universities. The researchers interviewed 22 academic staff from Taibah University and reviewed papers and academic institutions’ websites to identify the important indicators for measuring research productivity. Responses to an online questionnaire from 374 academic staff in Saudi universities were used to determine the relation between knowledge sharing and scholarly publication and to examine the factors that enhance knowledge sharing in Saudi universities. This study used SmartPLS to analyse the results. The results show that computer-mediated communication and nature of knowledge are the primary factors that positively affect knowledge sharing in Saudi universities, and scholarly publications are the primary indicator for measuring research productivity. In addition, knowledge sharing and computer-mediated communication significantly enhance research productivity at Saudi universities. © 2018",Key performance indicators; Knowledge sharing; Saudi universities; Scholarly publications; SmartPLS,Benchmarking; Knowledge acquisition; Productivity; Publishing; Key performance indicators; Knowledge-sharing; Saudi universities; Scholarly publication; SmartPLS; Knowledge management; algorithm; higher education; information technology; knowledge; questionnaire survey; research and development; software; university sector; Saudi Arabia
"Tuhkala A., Kärkkäinen T.",Using Slack for computer-mediated communication to support higher education students’ peer interactions during Master’s thesis seminar,2018,Education and Information Technologies,,10.1007/s10639-018-9722-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045933561&doi=10.1007%2fs10639-018-9722-6&partnerID=40&md5=919702b257124a0da49f2e1436a46784,"Our study contributes to the research on computer-mediated communication in higher education by experimenting a modern communication tool called Slack. In particular, we consider using Slack to support students’ peer interactions during Master’s thesis work. For this purpose, we designed a case study that was executed in a Master’s thesis seminar course. During the course, all out-of-class communication was carried out by using Slack, instead of e-mails or learning management systems. After the course, we used a questionnaire to investigate how the students perceived Slack for asking for assistance, their intention to use Slack, and Slack’s ease of use. Furthermore, the questionnaire asked feedback about challenges that the students found in slack. To examine the students’ peer support in Slack, we analysed the messages in the course’s public discussion channels. We investigated opportunities and challenges of Slack from instructional perspective by conducting an auto-ethnographic data collection. Our analysis revealed that the students perceived Slack as an easy-to-use communication tool with a low threshold of asking questions. The students also expressed high intentions to use Slack in the future. However, the students were worried of information overload in Slack, frustrated with decentralisation of communication tools in higher education, and cautious of using communication tools that are not officially supported by the university. The students’ interactions were assigned to three categories: practical, technical, and thesis-related. Analysis of these categories revealed that the students were able to explicate and solve issues in Slack, but the issues were only related to practical and technical problems, instead of actual Master’s thesis writing. The teacher perceived that Slack enhanced bi-directional communication with the students, but faced issues related to file management and user authentication. The results implicate that developing an alternative for Slack from educational premises could be more useful than a product that is not originally developed for pedagogical needs. Finally, we present recommendations that help educators to use Slack in their educational practices. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Communication tools; Computer-mediated communication; Higher education; Master’s thesis; Peer support; Slack,
"Friess E., Lam C.",Cultivating a Sense of Belonging: Using Twitter to Establish a Community in an Introductory Technical Communication Classroom,2018,Technical Communication Quarterly,,10.1080/10572252.2018.1520435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055565444&doi=10.1080%2f10572252.2018.1520435&partnerID=40&md5=a0efaf516ecdf9ce5fe340c8ac14d2a2,"The introductory technical communication class serves many purposes, but perhaps an understudied purpose is the class’s role in university retention and persistence. In this study, students used Twitter to complete biweekly assignments as a way to develop a sense of belonging, which is an important component to retention and persistence. Authors explore how this Twitter intervention affected students’ sense of belonging, their creation of an online community, and their continued pursuit of a technical communication education. © 2018, © 2018 Association of Teachers of Technical Writing.",Classroom community; community building; social media; tech comm pedagogy; Twitter,Teaching; Classroom communities; Community buildings; Social media; tech comm pedagogy; Twitter; Social networking (online)
"Vinagre M., Corral Esteban A.",Evaluative language for rapport building in virtual collaboration: an analysis of appraisal in computer-mediated interaction,2018,Language and Intercultural Communication,,10.1080/14708477.2017.1378227,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030549935&doi=10.1080%2f14708477.2017.1378227&partnerID=40&md5=0aa508b9ce7b06771c8d5f414271c729,"The main objective of this study is to explore how students who participate in virtual intercultural exchanges use evaluative language to build rapport and encourage collaboration. Data were gathered from 211 email messages sent by 40 Spanish and American university students and were tagged following Martin and White’s Appraisal model. Quantitative and qualitative analyses of the lexico-grammatical tokens revealed that the participants used mostly Affect tokens in their interaction. This suggests that the students preferred expressing their own feelings and emotions rather than judging their partners’ behaviour or evaluating phenomena as a strategy to construct a positive and appealing personal identity. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Appraisal theory; asynchronous communication; CMC interaction; intercultural exchanges; virtual collaboration,
